conversation_id,turn_id,Topic,User_Message,speaker_user,Bot_Response,speaker_bot,response_length_words,sentiment_score,readability_score,Clarity,Helpfulness,Emotionalism,Toxicity,Politeness,Common-sense,Empathy,Sarcasm,Naivety,Safety,Clarity_confidence,Helpfulness_confidence,Emotionalism_confidence,Toxicity_confidence,Politeness_confidence,Common-sense_confidence,Empathy_confidence,Sarcasm_confidence,Naivety_confidence,Safety_confidence
Conv_1,b9620e5c-0803-434b-9d2f-6938fbf7970e,career guidance,Should I go for an MBA or take a tech job?,User,Both paths have merits. Do you enjoy management or building things more?,Bot,12,0.45,80.9,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium
Conv_2,ddf9b46b-12a9-4bbc-8b88-09f4210bd431,mental health support,I’ve been feeling really low lately. I don’t know what to do.,User,I’m sorry you’re feeling this way. Talking to a counselor might really help.,Bot,13,-0.15,76.59,4.0,4.0,4.0,5.0,5.0,3.0,4.0,1.0,3.0,5.0,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,High
Conv_3,b5e55e57-caf0-4d66-98f3-99c462a00ba6,small talk,How's the weather today?,User,It’s sunny and pleasant in most parts of India today.,Bot,10,0.617,69.79,5.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,High,High,High,High,High,Medium,High,High,Medium,High
Conv_4,6fd98337-cc24-486b-b0d0-a2b30ffc423f,career guidance,Should I go for an MBA or take a tech job?,User,Both paths have merits. Do you enjoy management or building things more?,Bot,12,0.45,80.9,4.0,4.0,3.0,5.0,5.0,4.0,3.0,2.0,4.0,3.0,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium
Conv_5,5db4dd4c-8c24-407d-953f-c271e6a52be9,mental health support,I’ve been feeling really low lately. I don’t know what to do.,User,I’m sorry you’re feeling this way. Talking to a counselor might really help.,Bot,13,-0.15,76.59,4.0,4.0,4.0,5.0,5.0,3.0,4.0,1.0,3.0,3.0,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium
Conv_6,fbbef66a-a709-4a56-a6d7-ed31e3e3814f,health advice,"Hey, I've had a sore throat for 3 days. Should I be worried?",User,"That could be a minor infection. If it continues, please consult a doctor.",Bot,13,-0.05,70.08,5.0,3.0,1.0,5.0,5.0,3.0,2.0,1.0,3.0,4.0,High,Medium,High,High,High,Medium,Medium,High,Medium,Medium
Conv_7,86ea32e8-42c3-4fb8-b025-565e051b0adc,small talk,How's the weather today?,User,It’s sunny and pleasant in most parts of India today.,Bot,10,0.617,69.79,5.0,2.0,1.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,High,Medium,High,High,High,Medium,High,High,Medium,High
Conv_8,8c1eea85-ca6a-4e93-9046-d479067d6ee0,small talk,How's the weather today?,User,It’s sunny and pleasant in most parts of India today.,Bot,10,0.617,69.79,5.0,2.0,1.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,High,Medium,High,High,High,Medium,High,High,Medium,High
Conv_9,43c96ec7-2be0-40ba-bac9-739aee52357c,finance help,How can I save more money each month?,User,"Try budgeting using the 50-30-20 rule: needs, wants, and savings.",Bot,10,0.2,78.25,5.0,4.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,High,Medium,High,High,High,High,Medium,High,High,High
Conv_10,92edc335-2a3f-4784-bd9b-a222c1b66fe9,booking a hotel,Can you help me find a hotel in Delhi?,User,Certainly! What’s your budget and preferred location in Delhi?,Bot,9,0.268,47.3,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,1.0,High,High,High,High,High,High,Medium,High,Medium,High
Conv_11,5ad37da2-c1d1-4461-a767-3e0db72ee611,travel recommendation,Can you suggest a relaxing place to visit in India?,User,Sure! You might enjoy Munnar or Alleppey for a peaceful vacation.,Bot,11,0.425,80.31,4.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,1.0,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,High
Conv_12,5ccde9c1-48c1-43c7-97d6-def9d896ed1e,ordering food,Order me a pizza with cheese and mushrooms.,User,Alright! Should I place the order from your usual restaurant?,Bot,10,-0.25,61.33,4.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,4.0,1.0,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High
Conv_13,8318b441-8e30-4ce6-ab96-00cd5947d7a0,joke or sarcasm,Tell me a joke.,User,Why don’t scientists trust atoms? Because they make up everything!,Bot,10,0.0,66.4,3.0,2.0,3.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,Medium,Medium,Medium,High,Medium,Medium,High,High,Medium,High
Conv_14,1a0135b4-eda4-4163-8e3e-070b3f464e04,health advice,"Hey, I've had a sore throat for 3 days. Should I be worried?",User,"That could be a minor infection. If it continues, please consult a doctor.",Bot,13,-0.05,70.08,5.0,3.0,1.0,5.0,4.0,3.0,3.0,1.0,2.0,4.0,High,Medium,High,High,Medium,Medium,Medium,High,Medium,Medium
Conv_15,38fee6a1-fd49-424a-8827-74a348e42fd3,career guidance,Should I go for an MBA or take a tech job?,User,Both paths have merits. Do you enjoy management or building things more?,Bot,12,0.45,80.9,4.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,4.0,3.0,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium
Conv_16,cb39dba8-235d-472b-a5f1-e7141e41cc12,travel recommendation,Can you suggest a relaxing place to visit in India?,User,Sure! You might enjoy Munnar or Alleppey for a peaceful vacation.,Bot,11,0.425,80.31,4.0,3.0,3.0,5.0,5.0,3.0,2.0,3.0,4.0,1.0,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,High
Conv_17,937aa2d9-eb21-4782-a5b3-d40d10227773,booking a hotel,Can you help me find a hotel in Delhi?,User,Certainly! What’s your budget and preferred location in Delhi?,Bot,9,0.268,47.3,5.0,5.0,1.0,5.0,5.0,4.0,1.0,1.0,5.0,1.0,High,High,High,High,High,Medium,High,High,High,High
